Model,Category
gpt-4-0613,chat/completions
gpt-4,chat/completions
gpt-3.5-turbo,other
gpt-audio,audio
gpt-5-nano,chat/completions
gpt-audio-2025-08-28,audio
gpt-realtime,realtime
gpt-realtime-2025-08-28,realtime
davinci-002,legacy completions
babbage-002,legacy completions
gpt-3.5-turbo-instruct,legacy completions
gpt-3.5-turbo-instruct-0914,legacy completions
dall-e-3,images
dall-e-2,images
gpt-4-1106-preview,chat/completions
gpt-3.5-turbo-1106,other
tts-1-hd,audio
tts-1-1106,audio
tts-1-hd-1106,audio
text-embedding-3-small,embeddings
text-embedding-3-large,embeddings
gpt-4-0125-preview,chat/completions
gpt-4-turbo-preview,chat/completions
gpt-3.5-turbo-0125,other
gpt-4-turbo,chat/completions
gpt-4-turbo-2024-04-09,chat/completions
gpt-4o,chat/completions
gpt-4o-2024-05-13,chat/completions
gpt-4o-mini-2024-07-18,chat/completions
gpt-4o-mini,chat/completions
gpt-4o-2024-08-06,chat/completions
chatgpt-4o-latest,chat/completions
o1-mini-2024-09-12,chat/completions
o1-mini,chat/completions
gpt-4o-realtime-preview-2024-10-01,chat/completions
gpt-4o-audio-preview-2024-10-01,chat/completions
gpt-4o-audio-preview,chat/completions
gpt-4o-realtime-preview,chat/completions
omni-moderation-latest,chat/completions
omni-moderation-2024-09-26,chat/completions
gpt-4o-realtime-preview-2024-12-17,chat/completions
gpt-4o-audio-preview-2024-12-17,chat/completions
gpt-4o-mini-realtime-preview-2024-12-17,chat/completions
gpt-4o-mini-audio-preview-2024-12-17,chat/completions
o1-2024-12-17,chat/completions
o1,chat/completions
gpt-4o-mini-realtime-preview,chat/completions
gpt-4o-mini-audio-preview,chat/completions
o3-mini,chat/completions
o3-mini-2025-01-31,chat/completions
gpt-4o-2024-11-20,chat/completions
gpt-4o-search-preview-2025-03-11,chat/completions
gpt-4o-search-preview,chat/completions
gpt-4o-mini-search-preview-2025-03-11,chat/completions
gpt-4o-mini-search-preview,chat/completions
gpt-4o-transcribe,chat/completions
gpt-4o-mini-transcribe,chat/completions
o1-pro-2025-03-19,chat/completions
o1-pro,chat/completions
gpt-4o-mini-tts,chat/completions
o3-2025-04-16,chat/completions
o4-mini-2025-04-16,chat/completions
o3,chat/completions
o4-mini,chat/completions
gpt-4.1-2025-04-14,chat/completions
gpt-4.1,chat/completions
gpt-4.1-mini-2025-04-14,chat/completions
gpt-4.1-mini,chat/completions
gpt-4.1-nano-2025-04-14,chat/completions
gpt-4.1-nano,chat/completions
gpt-image-1,images
codex-mini-latest,legacy/codex
o3-pro,chat/completions
gpt-4o-realtime-preview-2025-06-03,chat/completions
gpt-4o-audio-preview-2025-06-03,chat/completions
o3-pro-2025-06-10,chat/completions
o4-mini-deep-research,chat/completions
o3-deep-research,chat/completions
o3-deep-research-2025-06-26,chat/completions
o4-mini-deep-research-2025-06-26,chat/completions
gpt-5-chat-latest,chat/completions
gpt-5-2025-08-07,chat/completions
gpt-5,chat/completions
gpt-5-mini-2025-08-07,chat/completions
gpt-5-mini,chat/completions
gpt-5-nano-2025-08-07,chat/completions
gpt-3.5-turbo-16k,legacy completions
tts-1,audio
whisper-1,audio
text-embedding-ada-002,embeddings
