id,data,updated_at
local-1763424116.741804,"{""id"": ""local-1763424116.741804"", ""title"": ""Pytest conversation"", ""messages"": [{""role"": ""user"", ""content"": ""Hello""}], ""created"": ""2025-11-18T07:01:56.741815""}",2025-11-18T07:01:56.751561
local-1763424116.741804,"{""id"": ""local-1763424116.741804"", ""title"": ""Pytest conversation"", ""messages"": [{""role"": ""user"", ""content"": ""Hello""}, {""role"": ""user"", ""content"": ""Second message""}], ""created"": ""2025-11-18T07:01:56.741815""}",2025-11-18T07:01:57.709698
local-1763424143.98881,"{""id"": ""local-1763424143.98881"", ""title"": ""Pytest conversation"", ""messages"": [{""role"": ""user"", ""content"": ""Hello""}], ""created"": ""2025-11-18T07:02:23.988821""}",2025-11-18T07:02:23.990326
local-1763424143.98881,"{""id"": ""local-1763424143.98881"", ""title"": ""Pytest conversation"", ""messages"": [{""role"": ""user"", ""content"": ""Hello""}, {""role"": ""user"", ""content"": ""Second message""}], ""created"": ""2025-11-18T07:02:23.988821""}",2025-11-18T07:02:24.752469
local-1763483804.503701,"{""id"": ""local-1763483804.503701"", ""title"": ""Pytest conversation"", ""messages"": [{""role"": ""user"", ""content"": ""Hello""}], ""created"": ""2025-11-18T23:36:44.503716""}",2025-11-18T23:36:44.513166
local-1763483804.503701,"{""id"": ""local-1763483804.503701"", ""title"": ""Pytest conversation"", ""messages"": [{""role"": ""user"", ""content"": ""Hello""}, {""role"": ""user"", ""content"": ""Second message""}], ""created"": ""2025-11-18T23:36:44.503716""}",2025-11-18T23:36:45.922908
local-1763484025.775611,"{""id"": ""local-1763484025.775611"", ""title"": ""Pytest conversation"", ""messages"": [{""role"": ""user"", ""content"": ""Hello""}], ""created"": ""2025-11-18T23:40:25.775626""}",2025-11-18T23:40:25.777493
local-1763484025.775611,"{""id"": ""local-1763484025.775611"", ""title"": ""Pytest conversation"", ""messages"": [{""role"": ""user"", ""content"": ""Hello""}, {""role"": ""user"", ""content"": ""Second message""}], ""created"": ""2025-11-18T23:40:25.775626""}",2025-11-18T23:40:26.649897
local-1763507711.073542,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-19T06:15:11.084083
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-19T06:15:11.148717
local-1763515658.742276,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-19T08:27:38.743586
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-19T08:27:38.884659
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-19T08:27:38.949920""}",2025-11-19T08:27:38.951258
local-1763520434.220619,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-19T09:47:14.222017
conv_001,"{""object"": ""test_proxy"", ""echo_method"": ""GET"", ""echo_path"": ""/v1/conversations/conv_001"", ""echo_url"": ""https://api.openai.com/v1/conversations/conv_001""}",2025-11-19T09:47:14.357620
conv_001,"{""id"": ""conv_001"", ""deleted"": true, ""deleted_at"": ""2025-11-19T09:47:14.420908""}",2025-11-19T09:47:14.422247
local-1763545957.054514,"{""object"": ""test_proxy"", ""echo_method"": ""POST"", ""echo_path"": ""/v1/conversations"", ""echo_url"": ""https://api.openai.com/v1/conversations""}",2025-11-19T09:52:37.055919+00:00
