"Category","Models","Count"
"Audio / Speech","tts-1-hd, tts-1-1106, tts-1-hd-1106, gpt-audio-2025-08-28, gpt-audio, gpt-audio-mini, gpt-audio-mini-2025-10-06, tts-1, whisper-1","9"
"Embeddings","text-embedding-3-small, text-embedding-3-large, text-embedding-ada-002","3"
"GPT-4 / 4o Family","gpt-4-0613, gpt-4, gpt-4-1106-preview, gpt-4-0125-preview, gpt-4-turbo-preview, gpt-4-turbo, gpt-4-turbo-2024-04-09, gpt-4o, gpt-4o-2024-05-13, gpt-4o-mini-2024-07-18, gpt-4o-mini, gpt-4o-2024-08-06, chatgpt-4o-latest, gpt-4o-realtime-preview-2024-10-01, gpt-4o-audio-preview-2024-10-01, gpt-4o-audio-preview, gpt-4o-realtime-preview, gpt-4o-realtime-preview-2024-12-17, gpt-4o-audio-preview-2024-12-17, gpt-4o-mini-realtime-preview-2024-12-17, gpt-4o-mini-audio-preview-2024-12-17, gpt-4o-mini-realtime-preview, gpt-4o-mini-audio-preview, gpt-4o-2024-11-20, gpt-4o-search-preview-2025-03-11, gpt-4o-search-preview, gpt-4o-mini-search-preview-2025-03-11, gpt-4o-mini-search-preview, gpt-4o-transcribe, gpt-4o-mini-transcribe, gpt-4o-mini-tts, gpt-4.1-2025-04-14, gpt-4.1, gpt-4.1-mini-2025-04-14, gpt-4.1-mini, gpt-4.1-nano-2025-04-14, gpt-4.1-nano, gpt-4o-realtime-preview-2025-06-03, gpt-4o-audio-preview-2025-06-03, gpt-4o-transcribe-diarize","40"
"GPT-5 Family","gpt-5-search-api-2025-10-14, gpt-5-chat-latest, gpt-5-2025-08-07, gpt-5, gpt-5-mini-2025-08-07, gpt-5-mini, gpt-5-nano-2025-08-07, gpt-5-nano, gpt-5-codex, gpt-5-pro-2025-10-06, gpt-5-pro, gpt-5-search-api","12"
"Image Models","dall-e-3, dall-e-2, gpt-image-1, gpt-image-1-mini","4"
"Legacy","davinci-002, babbage-002","2"
"Moderation / Safety","omni-moderation-latest, omni-moderation-2024-09-26","2"
"O-Series","o1-mini-2024-09-12, o1-mini, o1-2024-12-17, o1, o3-mini, o3-mini-2025-01-31, o1-pro-2025-03-19, o1-pro, o3-2025-04-16, o4-mini-2025-04-16, o3, o4-mini, o3-pro, o3-pro-2025-06-10, o4-mini-deep-research, o3-deep-research, o3-deep-research-2025-06-26, o4-mini-deep-research-2025-06-26","18"
"Other","gpt-3.5-turbo, gpt-realtime-mini, gpt-realtime-mini-2025-10-06, gpt-3.5-turbo-instruct, gpt-3.5-turbo-instruct-0914, gpt-3.5-turbo-1106, gpt-3.5-turbo-0125, codex-mini-latest, gpt-realtime, gpt-realtime-2025-08-28, gpt-3.5-turbo-16k","11"
"Video / Sora","sora-2, sora-2-pro","2"
