id,family,owned_by
gpt-4-0613,gpt-4,openai
gpt-4,gpt-4,openai
gpt-3.5-turbo,other,openai
chatgpt-image-latest,image,system
gpt-4o-mini-tts-2025-03-20,gpt-4o,system
gpt-4o-mini-tts-2025-12-15,gpt-4o,system
gpt-realtime-mini-2025-12-15,realtime,system
gpt-audio-mini-2025-12-15,audio/speech,system
davinci-002,other,system
babbage-002,other,system
gpt-3.5-turbo-instruct,other,system
gpt-3.5-turbo-instruct-0914,other,system
dall-e-3,image,system
dall-e-2,image,system
gpt-4-1106-preview,gpt-4,system
gpt-3.5-turbo-1106,other,system
tts-1-hd,audio/speech,system
tts-1-1106,audio/speech,system
tts-1-hd-1106,audio/speech,system
text-embedding-3-small,embeddings,system
text-embedding-3-large,embeddings,system
gpt-4-0125-preview,gpt-4,system
gpt-4-turbo-preview,gpt-4,system
gpt-3.5-turbo-0125,other,system
gpt-4-turbo,gpt-4,system
gpt-4-turbo-2024-04-09,gpt-4,system
gpt-4o,gpt-4o,system
gpt-4o-2024-05-13,gpt-4o,system
gpt-4o-mini-2024-07-18,gpt-4o,system
gpt-4o-mini,gpt-4o,system
gpt-4o-2024-08-06,gpt-4o,system
chatgpt-4o-latest,other,system
gpt-4o-audio-preview,gpt-4o,system
gpt-4o-realtime-preview,gpt-4o,system
omni-moderation-latest,moderation,system
omni-moderation-2024-09-26,moderation,system
gpt-4o-realtime-preview-2024-12-17,gpt-4o,system
gpt-4o-audio-preview-2024-12-17,gpt-4o,system
gpt-4o-mini-realtime-preview-2024-12-17,gpt-4o,system
gpt-4o-mini-audio-preview-2024-12-17,gpt-4o,system
o1-2024-12-17,o1,system
o1,o1,system
gpt-4o-mini-realtime-preview,gpt-4o,system
gpt-4o-mini-audio-preview,gpt-4o,system
o3-mini,o3,system
o3-mini-2025-01-31,o3,system
gpt-4o-2024-11-20,gpt-4o,system
gpt-4o-search-preview-2025-03-11,gpt-4o,system
gpt-4o-search-preview,gpt-4o,system
gpt-4o-mini-search-preview-2025-03-11,gpt-4o,system
gpt-4o-mini-search-preview,gpt-4o,system
gpt-4o-transcribe,gpt-4o,system
gpt-4o-mini-transcribe,gpt-4o,system
o1-pro-2025-03-19,o1,system
o1-pro,o1,system
gpt-4o-mini-tts,gpt-4o,system
o3-2025-04-16,o3,system
o4-mini-2025-04-16,other,system
o3,o3,system
o4-mini,other,system
gpt-4.1-2025-04-14,gpt-4.1,system
gpt-4.1,gpt-4.1,system
gpt-4.1-mini-2025-04-14,gpt-4.1,system
gpt-4.1-mini,gpt-4.1,system
gpt-4.1-nano-2025-04-14,gpt-4.1,system
gpt-4.1-nano,gpt-4.1,system
gpt-image-1,image,system
codex-mini-latest,other,system
o3-pro,o3,system
gpt-4o-realtime-preview-2025-06-03,gpt-4o,system
gpt-4o-audio-preview-2025-06-03,gpt-4o,system
o3-pro-2025-06-10,o3,system
o4-mini-deep-research,other,system
o3-deep-research,o3,system
gpt-4o-transcribe-diarize,gpt-4o,system
o3-deep-research-2025-06-26,o3,system
o4-mini-deep-research-2025-06-26,other,system
gpt-5-chat-latest,gpt-5,system
gpt-5-2025-08-07,gpt-5,system
gpt-5,gpt-5,system
gpt-5-mini-2025-08-07,gpt-5,system
gpt-5-mini,gpt-5,system
gpt-5-nano-2025-08-07,gpt-5,system
gpt-5-nano,gpt-5,system
gpt-audio-2025-08-28,audio/speech,system
gpt-realtime,realtime,system
gpt-realtime-2025-08-28,realtime,system
gpt-audio,audio/speech,system
gpt-5-codex,gpt-5,system
gpt-image-1-mini,image,system
gpt-5-pro-2025-10-06,gpt-5,system
gpt-5-pro,gpt-5,system
gpt-audio-mini,audio/speech,system
gpt-audio-mini-2025-10-06,audio/speech,system
gpt-5-search-api,gpt-5,system
gpt-realtime-mini,realtime,system
gpt-realtime-mini-2025-10-06,realtime,system
sora-2,other,system
sora-2-pro,other,system
gpt-5-search-api-2025-10-14,gpt-5,system
gpt-5.1-chat-latest,gpt-5,system
gpt-5.1-2025-11-13,gpt-5,system
gpt-5.1,gpt-5,system
gpt-5.1-codex,gpt-5,system
gpt-5.1-codex-mini,gpt-5,system
gpt-5.1-codex-max,gpt-5,system
gpt-image-1.5,image,system
gpt-5.2-2025-12-11,gpt-5,system
gpt-5.2,gpt-5,system
gpt-5.2-pro-2025-12-11,gpt-5,system
gpt-5.2-pro,gpt-5,system
gpt-5.2-chat-latest,gpt-5,system
gpt-4o-mini-transcribe-2025-12-15,gpt-4o,system
gpt-4o-mini-transcribe-2025-03-20,gpt-4o,system
gpt-3.5-turbo-16k,other,openai-internal
tts-1,audio/speech,openai-internal
whisper-1,audio/speech,openai-internal
text-embedding-ada-002,embeddings,openai-internal
